Visitor,Home,Winner
Denver Nuggets,New York Knicks,Denver Nuggets
Chicago Bulls,Brooklyn Nets,Chicago Bulls
Miami Heat,Milwaukee Bucks,Milwaukee Bucks
Memphis Grizzlies,Dallas Mavericks,Memphis Grizzlies
San Antonio Spurs,Golden State Warriors,San Antonio Spurs
Boston Celtics,Portland Trail Blazers,Boston Celtics
Los Angeles Clippers,Sacramento Kings,Sacramento Kings
Utah Jazz,Cleveland Cavaliers,Utah Jazz
Charlotte Hornets,Atlanta Hawks,Charlotte Hornets
Washington Wizards,Toronto Raptors,Toronto Raptors
New Orleans Pelicans,Houston Rockets,Houston Rockets
Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers
Oklahoma City Thunder,Detroit Pistons,Oklahoma City Thunder
Washington Wizards,Indiana Pacers,Indiana Pacers
Memphis Grizzlies,Miami Heat,Memphis Grizzlies
Denver Nuggets,Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,Milwaukee Bucks,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves,Atlanta Hawks
San Antonio Spurs,Phoenix Suns,Phoenix Suns
Orlando Magic,Golden State Warriors,Golden State Warriors
Los Angeles Clippers,Portland Trail Blazers,Los Angeles Clippers
Brooklyn Nets,Dallas Mavericks,Brooklyn Nets
New York Knicks,San Antonio Spurs,New York Knicks
Boston Celtics,Los Angeles Lakers,Los Angeles Lakers
Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers
Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers
Washington Wizards,Detroit Pistons,Washington Wizards
New York Knicks,Indiana Pacers,Indiana Pacers
Milwaukee Bucks,Miami Heat,Miami Heat
Oklahoma City Thunder,Toronto Raptors,Oklahoma City Thunder
Brooklyn Nets,Houston Rockets,Houston Rockets
Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks
Utah Jazz,Minnesota Timberwolves,Utah Jazz
Denver Nuggets,New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Golden State Warriors,Golden State Warriors
Orlando Magic,Sacramento Kings,Sacramento Kings
Boston Celtics,Los Angeles Clippers,Los Angeles Clippers
Utah Jazz,Philadelphia 76ers,Utah Jazz
Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies
Denver Nuggets,San Antonio Spurs,San Antonio Spurs
Sacramento Kings,Charlotte Hornets,Charlotte Hornets
Dallas Mavericks,Indiana Pacers,Indiana Pacers
Brooklyn Nets,Atlanta Hawks,Brooklyn Nets
New York Knicks,Toronto Raptors,Toronto Raptors
Milwaukee Bucks,Houston Rockets,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves,Cleveland Cavaliers
